index,tx_id,azimuth,distance_ring,distance_km,num_distance_points,frequency_ghz,time_percentage,polarization,antenna_height_tx_m,antenna_height_rx_m,tx_lat,tx_lon,rx_lat,rx_lon,Lb,Ep,elapsed_s
383,TX_0001,110.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.335513122609521,-13.38106397817286,110.79128912364516,87.65356106514136,0.000307292000002235
384,TX_0001,115.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.333309319267014,-13.38199497794764,101.11518596303053,97.32966422575599,0.00030504100000072754
385,TX_0001,120.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.33119448931541,-13.383115802801257,107.17291464295673,91.27193554582979,0.000324374999998156
386,TX_0001,125.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.32918472576208,-13.384417920764305,101.11523939811566,97.32961079067086,0.00030770800000112786
387,TX_0001,130.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.327295321928165,-13.385891420828802,129.1377817543365,69.30706843445003,0.0003092500000008158
388,TX_0001,135.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.32554065512375,-13.387525088409829,109.76219843783383,88.68265175095269,0.00032004199999846605
389,TX_0001,140.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.323934077294302,-13.389306490705637,129.8154365354712,68.62941365331531,0.00030158299999882843
390,TX_0001,145.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.322487813468706,-13.39122207130625,109.8305720478131,88.61427814097341,0.00030895899999805465
391,TX_0001,150.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.321212868779734,-13.393257253331,109.91895756028595,88.52589262850057,0.0003107500000005814
392,TX_0001,155.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.320118944762863,-13.39539655031111,101.1152937782795,97.32955641050702,0.0003116660000017646
393,TX_0001,160.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.319214365568742,-13.397623683975176,129.83455583087112,68.6102943579154,0.00031041700000145056
394,TX_0001,165.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.318506014649575,-13.399921708043466,116.04499058890383,82.39985959988269,0.0002939169999969238
395,TX_0001,170.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.317999282400054,-13.402273137091658,116.48457123947472,81.9602789493118,0.0002974999999985073
396,TX_0001,175.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.317698025150564,-13.404660079506593,101.70139674694971,96.7434534418368,0.0003127500000026373
397,TX_0001,180.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.317604535824232,-13.40706437352572,133.77149829627106,64.67335189251546,0.0002993750000008788
398,TX_0001,185.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.317719526480918,-13.409467725328716,131.51211931585811,66.9327308729284,0.00030575000000254704
399,TX_0001,190.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.318042122881298,-13.411851848134235,129.75783606068927,68.68701412809725,0.0003092920000007382
400,TX_0001,195.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.31856987111276,-13.414198601247087,129.75783584679982,68.6870143419867,0.0003074169999983667
401,TX_0001,200.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.319298756227687,-13.416490128001392,129.83455303725026,68.61029715153626,0.00029504199999763614
402,TX_0001,205.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.320223232753245,-13.418708991553496,108.58057380384179,89.86427638494473,0.0003417500000004736
403,TX_0001,210.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.321336266842025,-13.420838307494313,109.56786932645373,88.87698086233279,0.00031133300000263375
404,TX_0001,215.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.322629389744195,-13.422861872274694,108.580566849744,89.86428333904252,0.00031045900000137294
405,TX_0001,220.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.324092762196136,-13.42476428646866,107.16306088751489,91.28178930127163,0.000319875000002412
406,TX_0001,225.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.325715249237318,-13.426531071938086,101.77513645768838,96.66971373109814,0.0003185829999985401
407,TX_0001,230.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.32748450488805,-13.428148782008183,101.11557985401497,97.32927033477155,0.0003275830000006863
408,TX_0001,235.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.329387066045596,-13.429605103815664,101.11557985401497,97.32927033477155,0.00030829199999971024
409,TX_0001,240.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.331408454886008,-13.430888952050353,101.11557985401497,97.32927033477155,0.0002917499999988138
410,TX_0001,245.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.333533288994113,-13.431990553375822,101.11557985401497,97.32927033477155,0.00031054199999758225
411,TX_0001,250.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.335745398385198,-13.432901520884988,101.11557985401497,97.32927033477155,0.0003126249999994002
412,TX_0001,255.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.338027948529225,-13.433614918021727,101.11557985401497,97.32927033477155,0.00032325000000099635
413,TX_0001,260.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.340363568442479,-13.434125311479317,101.11557985401497,97.32927033477155,0.000310083000002237
414,TX_0001,265.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.342734482872652,-13.434428812669895,101.11557985401497,97.32927033477155,0.0003154159999994022
415,TX_0001,270.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.345122647572039,-13.434523107445745,101.11557985401497,97.32927033477155,0.00031066700000081937
416,TX_0001,275.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.347509886629497,-13.434407473842391,101.11557985401497,97.32927033477155,0.0003222919999998908
417,TX_0001,280.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.349878030815908,-13.434082787704504,101.11557985401497,97.32927033477155,0.0003252909999993392
418,TX_0001,285.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.352209055889803,-13.433551516147812,101.11557985401497,97.32927033477155,0.00031949999999980605
419,TX_0001,290.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.354485219809817,-13.432817698902905,101.11557985401497,97.32927033477155,0.00031391699999971934
420,TX_0001,295.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.356689197808524,-13.431886917679211,101.11557985401497,97.32927033477155,0.00031904099999735536
421,TX_0001,300.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.358804214298363,-13.430766253779039,101.11557985401497,97.32927033477155,0.0003214160000020172
422,TX_0001,305.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.360814170604101,-13.429464234281298,101.11557985401497,97.32927033477155,0.0003016250000023035
423,TX_0001,310.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.362703767547904,-13.427990767202148,109.04547628436474,89.39937390442178,0.00032266600000241397
424,TX_0001,315.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.364458621952156,-13.426357066124256,107.60499310204173,90.83985708674479,0.0003203749999975969
425,TX_0001,320.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.36606537617125,-13.424575564867153,112.61222166850699,85.83262852027953,0.00032245899999949756
426,TX_0001,325.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.367511799816796,-13.422659822847695,120.48236021565302,77.9624899731335,0.00029716699999937646
427,TX_0001,330.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.368786882899972,-13.420624421851176,114.08997991416723,84.35487027461929,0.0003057919999989167
428,TX_0001,335.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.369880919680257,-13.41848485499972,103.63699996924323,94.80785021954328,0.00032841600000210747
429,TX_0001,340.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.370785582580744,-13.416257408764626,116.32149995933729,82.12335022944923,0.00030370800000056875
430,TX_0001,345.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.371493985605847,-13.413959038922945,115.73367065894874,82.71117952983778,0.0002949580000013441
431,TX_0001,350.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.372000736777661,-13.411607241405154,125.74314709525947,72.70170309352704,0.0003010410000001684
432,TX_0001,355.0,3.0,3.03,103,0.9,50,1,57.0,10.0,9.345,-13.40694,9.372301979190853,-13.409219919020174,128.63930823548807,69.80554195329844,0.0003080830000001811
433,TX_0001,0.0,3.5,3.54,120,0.9,50,1,57.0,10.0,9.345,-13.40694,9.377006526417262,-13.406794209211336,102.4660810989536,95.97876908983292,0.00033879200000086485
434,TX_0001,5.0,3.5,3.54,120,0.9,50,1,57.0,10.0,9.345,-13.40694,9.37687207956898,-13.40398586617628,131.41829426969477,67.02655591909175,0.00032441599999799564
435,TX_0001,10.0,3.5,3.54,120,0.9,50,1,57.0,10.0,9.345,-13.40694,9.376495046158832,-13.40120001756608,122.72116419589692,75.7236859928896,0.0003192910000002769
436,TX_0001,15.0,3.5,3.54,120,0.9,50,1,57.0,10.0,9.345,-13.40694,9.375878297347098,-13.398457870767068,102.46600210387837,95.97884808490815,0.00032687499999894953
437,TX_0001,20.0,3.5,3.54,120,0.9,50,1,57.0,10.0,9.345,-13.40694,9.37502652908302,-13.3957803000474,134.79171327101955,63.65313691776697,0.0003214160000020172
438,TX_0001,25.0,3.5,3.54,120,0.9,50,1,57.0,10.0,9.345,-13.40694,9.373946226300912,-13.3931876875423,135.76739633038727,62.67745385839925,0.0003240830000024175
439,TX_0001,30.0,3.5,3.54,120,0.9,50,1,57.0,10.0,9.345,-13.40694,9.372645613490484,-13.390699768005321,131.8386048698584,66.60624531892813,0.000330292000001009
